time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-01-24 15:30:00-05:00,MyStrategy,30baf001d5ef4f78ac18e24bef133c4e,SPY,buy,market,fill,1,gtc,0.0,1,stock,332.44000244140625,1.0,0.0
2020-01-27 09:30:00-05:00,MyStrategy,8e7bf67c72ea4d63944ffae02c75c206,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-27 09:30:00-05:00,MyStrategy,8e7bf67c72ea4d63944ffae02c75c206,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.0299987792969,1.0,0.0
2020-01-27 12:30:00-05:00,MyStrategy,5e5b2f101bfa498680def1926419db60,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-27 12:30:00-05:00,MyStrategy,5e5b2f101bfa498680def1926419db60,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.0299987792969,1.0,0.0
2020-01-27 15:30:00-05:00,MyStrategy,174d90cf4cc541a8875d91626f3f7329,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-27 15:30:00-05:00,MyStrategy,174d90cf4cc541a8875d91626f3f7329,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.0299987792969,1.0,0.0
2020-01-28 09:30:00-05:00,MyStrategy,f644622e4fc24e91bf81ac26a63dfe53,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-28 09:30:00-05:00,MyStrategy,f644622e4fc24e91bf81ac26a63dfe53,SPY,buy,market,fill,1,gtc,0.0,1,stock,325.05999755859375,1.0,0.0
2020-01-28 12:30:00-05:00,MyStrategy,9e6c00e64cbf4ce7a0879644b0676451,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-28 12:30:00-05:00,MyStrategy,9e6c00e64cbf4ce7a0879644b0676451,SPY,buy,market,fill,1,gtc,0.0,1,stock,325.05999755859375,1.0,0.0
2020-01-28 15:30:00-05:00,MyStrategy,9e075a4bd8bd4095932cab59a7461598,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-28 15:30:00-05:00,MyStrategy,9e075a4bd8bd4095932cab59a7461598,SPY,buy,market,fill,1,gtc,0.0,1,stock,325.05999755859375,1.0,0.0
2020-01-29 09:30:00-05:00,MyStrategy,4a1df6b0571a45429a4a89c867797ead,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-29 09:30:00-05:00,MyStrategy,4a1df6b0571a45429a4a89c867797ead,SPY,buy,market,fill,1,gtc,0.0,1,stock,328.3800048828125,1.0,0.0
2020-01-29 12:30:00-05:00,MyStrategy,646b81142ea94650be12e0312c6682ce,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-29 12:30:00-05:00,MyStrategy,646b81142ea94650be12e0312c6682ce,SPY,buy,market,fill,1,gtc,0.0,1,stock,328.3800048828125,1.0,0.0
2020-01-29 15:30:00-05:00,MyStrategy,bf288cfd1b344eca98740cb244abe2ba,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-29 15:30:00-05:00,MyStrategy,bf288cfd1b344eca98740cb244abe2ba,SPY,buy,market,fill,1,gtc,0.0,1,stock,328.3800048828125,1.0,0.0
2020-01-30 09:30:00-05:00,MyStrategy,2b5ed8af98d94cf58860792578ad9f49,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-30 09:30:00-05:00,MyStrategy,2b5ed8af98d94cf58860792578ad9f49,SPY,buy,market,fill,1,gtc,0.0,1,stock,324.3599853515625,1.0,0.0
2020-01-30 12:30:00-05:00,MyStrategy,b8e5d3985c7c4660a74092e3cd7adf39,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-30 12:30:00-05:00,MyStrategy,b8e5d3985c7c4660a74092e3cd7adf39,SPY,buy,market,fill,1,gtc,0.0,1,stock,324.3599853515625,1.0,0.0
